	native	instrument	exclusive	mprotect
1	14.95666667	0.207	0.015788	0
2	7.983333333	0.149333333	0.0290522	0
4	4.485	0.105666667	0.029823167	0
8	2.761333333	0.076	0.033697667	0
16	1.886666667	0.084333333	0.037886333	0
32	1.488333333	0.077333333	0.058407167	0
64	1.500333333	0.091666667	0.113845667	0
				
1	14.95666667	0	0.346377667	0.222599333
2	7.983333333	0	0.341353333	0.216460333
4	4.485	0	0.347508333	0.217528667
8	2.761333333	0	0.355783	0.221945
16	1.886666667	0	0.403232	0.226937
32	1.488333333	0	0.470911667	0.227456333
64	1.500333333	0	0.647267	0.234295
