	native	instrument	exclusive	mprotect
1	38.733	2.83	2.6400265	0
2	34.235	2.775	5.257789167	0
4	31.83466667	2.574	11.190676	0
8	30.62633333	2.521333333	19.58442067	0
16	29.88333333	2.322333333	34.68854633	0
32	29.48666667	2.401	53.020602	0
64	29.48533333	2.449666667	52.784278	0
				
1	38.733	0	28.748118	15.930854
2	34.235	0	34.49428367	17.45931
4	31.83466667	0	42.38503067	20.02213767
8	30.62633333	0	53.061315	22.70381
16	29.88333333	0	71.933395	26.39707267
32	29.48666667	0	88.02351833	31.419393
64	29.48533333	0	89.442431	32.932684
