	native	instrument	exclusive	mprotect
1	58.634	1.477666667	2.357333333	0
2	34.364	1.396	0.806476333	0
4	22.79466667	1.118666667	0.001109167	0
8	16.60133333	1.266333333	0.001261667	0
16	12.99866667	1.038333333	0.001545	0
32	12.772	0.499	0.002169167	0
64	11.47666667	1.222666667	13.83813283	0
				
1	58.634	0	31.495713	19.63289233
2	34.364	0	31.40392867	19.395683
4	22.79466667	0	32.315939	19.37807
8	16.60133333	0	34.567247	19.70633267
16	12.99866667	0	46.359974	21.17818933
32	12.772	0	69.97724267	24.72275567
64	11.47666667	0	122.9778513	30.54827967
