	native	instrument	exclusive	mprotect
1	18.79933333	0.675	0.063567667	0
2	10.75933333	0.520666667	11.01644533	0
4	6.588	0.442666667	84.965145	0
8	4.653	0.432333333	167.7011933	0
16	3.543666667	0.33	223.538253	0
32	3.122333333	0.372333333	325.5469733	0
64	3.257	0.442	467.5030787	0
				
1	18.79933333	0	0.687464	0.354851333
2	10.75933333	0	32.65262167	8.749987667
4	6.588	0	137.3972183	40.34265133
8	4.653	0	322.7670557	106.7567267
16	3.543666667	0	536.0610603	179.8387783
32	3.122333333	0	960.569802	302.735506
64	3.257	0	1528.644071	431.9120643
