	native	instrument	exclusive	mprotect
1	27.202	3.743666667	8.840808667	0
2	14.94133333	2.080333333	9.433904833	0
4	9.661666667	1.308666667	8.952186833	0
8	6.307	0.924333333	9.0859915	0
16	7.482666667	0.271666667	9.173806167	0
32	6.664333333	2.571	9.578037167	0
64	7.189666667	1.666666667	10.54309817	0
				
1	27.202	0	100.3721903	61.43537
2	14.94133333	0	100.642597	62.16801133
4	9.661666667	0	100.7265667	61.22228
8	6.307	0	100.9382623	61.25367267
16	7.482666667	0	100.8056913	61.330512
32	6.664333333	0	101.6314077	61.602981
64	7.189666667	0	107.345687	63.127695
