	native	instrument	exclusive	mprotect
1	56.022	1.288333333	0.666893833	0
2	28.073	0.709666667	14.79187117	0
4	14.09333333	0.575666667	81.0009205	0
8	7.108	0.232	168.242785	0
16	3.627333333	0.082	296.6115648	0
32	1.888666667	0.055333333	345.3870397	0
64	1.598666667	0.442666667	327.1726752	0
				
1	56.022	0	6.866611667	3.351028667
2	28.073	0	48.20559833	14.95054667
4	14.09333333	0	110.3953243	24.70285967
8	7.108	0	188.75287	40.26141
16	3.627333333	0	281.2195893	54.461563
32	1.888666667	0	313.4210357	70.86290767
64	1.598666667	0	350.4078887	73.127408
