	native	instruments	exclusive	mprotect
1	220.0146667	14.32633333	0.007982167	0
2	114.1856667	8.218333333	0.239068333	0
4	58.18633333	4.010333333	0.850716167	0
8	35.102	2.301	2.099468833	0
16	34.226	2.237	2.2194905	0
32	31.72033333	2.320666667	2.531014333	0
64	26.822	1.764	3.287505667	0
				
1	220.0146667	0	0.074968667	0.049297667
2	114.1856667	0	0.762547	0.235692
4	58.18633333	0	1.637170667	0.384024667
8	35.102	0	3.245768667	0.627501
16	34.226	0	3.490551	0.670932333
32	31.72033333	0	4.000571	0.690561
64	26.822	0	5.009069667	0.776694
